academic_year (O),class_code (O),class_name (R),grade (R),section_code (O),section_name (O),class_capacity (O),section_capacity (O),import_mode (O)
CURRENT,G06,Class 6,6,A,A,,40,UPSERT
CURRENT,G06,Class 6,6,B,B,,40,UPSERT
CURRENT,G07,Class 7,7,A,A,,40,UPSERT
CURRENT,G07,Class 7,7,B,B,,40,UPSERT
CURRENT,G08,Class 8,8,A,A,,40,UPSERT
CURRENT,G09,Class 9,9,A,A,,36,UPSERT
CURRENT,G09,Class 9,9,B,B,,36,UPSERT
CURRENT,G10,Class 10,10,A,A,,36,UPSERT
CURRENT,G11,Class 11,11,A,A,,36,UPSERT
CURRENT,G11,Class 11,11,B,B,,36,UPSERT
CURRENT,G12,Class 12,12,A,A,,36,UPSERT
