academic_year (O),class_code (O),class_name (R),grade (R),section_code (O),section_name (O),class_capacity (O),section_capacity (O),import_mode (O)
CURRENT,G01,Class 1,1,A,A,,30,UPSERT
CURRENT,G01,Class 1,1,B,B,,30,UPSERT
CURRENT,G02,Class 2,2,A,A,,30,UPSERT
CURRENT,G02,Class 2,2,B,B,,30,UPSERT
CURRENT,G03,Class 3,3,A,A,,30,UPSERT
CURRENT,G03,Class 3,3,B,B,,30,UPSERT
CURRENT,G04,Class 4,4,A,A,,30,UPSERT
CURRENT,G04,Class 4,4,B,B,,30,UPSERT
CURRENT,G05,Class 5,5,A,A,,30,UPSERT
CURRENT,G05,Class 5,5,B,B,,30,UPSERT
CURRENT,G06,Class 6,6,A,A,,32,UPSERT
CURRENT,G06,Class 6,6,B,B,,32,UPSERT
CURRENT,G07,Class 7,7,A,A,,32,UPSERT
CURRENT,G07,Class 7,7,B,B,,32,UPSERT
CURRENT,G08,Class 8,8,A,A,,32,UPSERT
CURRENT,G08,Class 8,8,B,B,,32,UPSERT
CURRENT,G09,Class 9,9,A,A,,32,UPSERT
CURRENT,G09,Class 9,9,B,B,,32,UPSERT
CURRENT,G10,Class 10,10,A,A,,32,UPSERT
CURRENT,G10,Class 10,10,B,B,,32,UPSERT
