academic_year_id (R),import_mode (O),teacher_ref_type (R),teacher_ref (R),class_ref (R),section_ref (O),subject_code (R),day_of_week (R),period_no (R),start_time (R),end_time (R),room_code (O)
CURRENT,UPSERT,EMPLOYEE_CODE,T001,Class 1,A,English,MONDAY,1,08:00,08:40,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T013,Class 1,A,Mathematics,MONDAY,2,08:45,09:25,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T019,Class 1,A,EVS,MONDAY,3,09:40,10:20,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T002,Class 1,A,English,MONDAY,4,10:35,11:15,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T007,Class 1,A,Hindi,MONDAY,5,11:30,12:10,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T014,Class 1,A,Mathematics,MONDAY,6,12:20,13:00,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T020,Class 1,A,EVS,MONDAY,7,13:10,13:50,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T003,Class 1,A,English,TUESDAY,1,08:00,08:40,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T008,Class 1,A,Hindi,TUESDAY,2,08:45,09:25,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T015,Class 1,A,Mathematics,TUESDAY,3,09:40,10:20,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T043,Class 1,A,Art,TUESDAY,4,10:35,11:15,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T035,Class 1,A,Computer Science,TUESDAY,5,11:30,12:10,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T021,Class 1,A,EVS,TUESDAY,6,12:20,13:00,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T004,Class 1,A,English,TUESDAY,7,13:10,13:50,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T009,Class 1,A,Hindi,WEDNESDAY,1,08:00,08:40,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T016,Class 1,A,Mathematics,WEDNESDAY,2,08:45,09:25,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T039,Class 1,A,Physical Education,WEDNESDAY,3,09:40,10:20,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T044,Class 1,A,Art,WEDNESDAY,4,10:35,11:15,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T036,Class 1,A,Computer Science,WEDNESDAY,5,11:30,12:10,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T022,Class 1,A,EVS,WEDNESDAY,6,12:20,13:00,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T005,Class 1,A,English,WEDNESDAY,7,13:10,13:50,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T010,Class 1,A,Hindi,THURSDAY,1,08:00,08:40,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T017,Class 1,A,Mathematics,THURSDAY,2,08:45,09:25,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T049,Class 1,A,Moral Science,THURSDAY,3,09:40,10:20,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T040,Class 1,A,Physical Education,THURSDAY,4,10:35,11:15,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T045,Class 1,A,Art,THURSDAY,5,11:30,12:10,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T037,Class 1,A,Computer Science,THURSDAY,6,12:20,13:00,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T023,Class 1,A,EVS,THURSDAY,7,13:10,13:50,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T006,Class 1,A,English,FRIDAY,1,08:00,08:40,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T011,Class 1,A,Hindi,FRIDAY,2,08:45,09:25,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T018,Class 1,A,Mathematics,FRIDAY,3,09:40,10:20,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T050,Class 1,A,Moral Science,FRIDAY,4,10:35,11:15,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T041,Class 1,A,Physical Education,FRIDAY,5,11:30,12:10,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T043,Class 1,A,Art,FRIDAY,6,12:20,13:00,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T038,Class 1,A,Computer Science,FRIDAY,7,13:10,13:50,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T019,Class 1,A,EVS,SATURDAY,1,08:00,08:40,CPS-1A-ROOM
CURRENT,UPSERT,EMPLOYEE_CODE,T001,Class 1,A,English,SATURDAY,2,08:45,09:25,CPS-1A-ROOM
