academic_year_id (R),import_mode (O),teacher_ref_type (R),teacher_ref (R),class_ref (R),section_ref (O),subject_code (R),day_of_week (R),period_no (R),start_time (R),end_time (R),room_code (O)
CURRENT,UPSERT,EMPLOYEE_CODE,T001,Class 6,A,English,MONDAY,1,08:00,08:40,R-6A-1
CURRENT,UPSERT,EMPLOYEE_CODE,T002,Class 6,B,Mathematics,MONDAY,2,08:45,09:25,R-6B-2
CURRENT,UPSERT,EMPLOYEE_CODE,T003,Class 7,A,Science,MONDAY,3,09:30,10:10,R-7A-3
CURRENT,UPSERT,EMPLOYEE_CODE,T004,Class 7,B,Social Studies,MONDAY,4,10:35,11:15,R-7B-4
CURRENT,UPSERT,EMPLOYEE_CODE,T005,Class 8,A,Hindi,MONDAY,5,11:20,12:00,R-8A-5
CURRENT,UPSERT,EMPLOYEE_CODE,T010,Class 9,A,Physics,MONDAY,1,08:00,08:40,R-9A-1
CURRENT,UPSERT,EMPLOYEE_CODE,T007,Class 9,B,Chemistry,MONDAY,2,08:45,09:25,R-9B-2
CURRENT,UPSERT,EMPLOYEE_CODE,T008,Class 10,A,Biology,MONDAY,3,09:30,10:10,R-10A-3
CURRENT,UPSERT,EMPLOYEE_CODE,T009,Class 11,A,Economics,MONDAY,4,10:35,11:15,R-11A-4
CURRENT,UPSERT,EMPLOYEE_CODE,T010,Class 12,A,Computer Science,MONDAY,4,10:35,11:15,R-12A-5
CURRENT,UPSERT,EMPLOYEE_CODE,T001,Class 6,A,English,TUESDAY,1,08:00,08:40,R-6A-1
CURRENT,UPSERT,EMPLOYEE_CODE,T002,Class 6,B,Mathematics,TUESDAY,2,08:45,09:25,R-6B-2
CURRENT,UPSERT,EMPLOYEE_CODE,T003,Class 7,A,Science,TUESDAY,3,09:30,10:10,R-7A-3
CURRENT,UPSERT,EMPLOYEE_CODE,T004,Class 7,B,Social Studies,TUESDAY,4,10:35,11:15,R-7B-4
CURRENT,UPSERT,EMPLOYEE_CODE,T005,Class 8,A,Hindi,TUESDAY,5,11:20,12:00,R-8A-5
CURRENT,UPSERT,EMPLOYEE_CODE,T010,Class 9,A,Physics,TUESDAY,1,08:00,08:40,R-9A-1
CURRENT,UPSERT,EMPLOYEE_CODE,T007,Class 9,B,Chemistry,TUESDAY,2,08:45,09:25,R-9B-2
CURRENT,UPSERT,EMPLOYEE_CODE,T008,Class 10,A,Biology,TUESDAY,3,09:30,10:10,R-10A-3
